@jorek_model:   302
@n_tor:     3
@n_plane:     8
@n_period:     8
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature V_parallel 
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,08,cos}" "E_{mag,08,sin}" "E_{kin,00,cos}" "E_{kin,08,cos}" "E_{kin,08,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,08,cos}" "G_{mag,08,sin}" "G_{kin,00,cos}" "G_{kin,08,cos}" "G_{kin,08,sin}" 
@energies:  5.800000000E+01  1.844696359E-01  4.000221897E-26  3.950715513E-26  2.195016843E-07  2.868493200E-26  2.860016681E-26
@growth_rates:  5.550000000E+01  8.117629003E-07 -5.324540997E-02 -5.332167734E-02  9.881554522E-03  3.844055437E-03  3.871939821E-03
@times:    50   6.300000000E+01
@energies:  6.300000000E+01  1.844684372E-01  3.951406653E-26  3.818511536E-26  2.360141734E-07  3.187686467E-26  3.199010191E-26
@growth_rates:  6.050000000E+01 -6.498081247E-07 -1.227820363E-03 -3.403600859E-03  7.253195453E-03  1.055085336E-02  1.120139893E-02
@times:    51   6.800000000E+01
@energies:  6.800000000E+01  1.844656027E-01  8.875948202E-26  8.715487909E-26  2.428029317E-07  2.909113178E-26  2.920229346E-26
@growth_rates:  6.550000000E+01 -1.536608970E-06  8.092735391E-02  8.252409659E-02  2.835827333E-03 -9.144712315E-03 -9.117929020E-03
@times:    52   7.300000000E+01
@energies:  7.300000000E+01  1.844644104E-01  4.058968749E-26  4.016531450E-26  2.415256089E-07  2.941463431E-26  2.955305880E-26
@growth_rates:  7.050000000E+01 -6.463145621E-07 -7.824162307E-02 -7.746829556E-02 -5.274625022E-04  1.105893813E-03  1.194000167E-03
@times:    53   7.800000000E+01
@energies:  7.800000000E+01  1.844633859E-01  5.329054254E-26  5.285453147E-26  2.341761019E-07  2.853407007E-26  2.872351200E-26
@growth_rates:  7.550000000E+01 -5.554056294E-07  2.722448456E-02  2.745396508E-02 -3.090210396E-03 -3.039350183E-03 -2.847123027E-03
@times:    54   8.300000000E+01
@energies:  8.300000000E+01  1.844620560E-01  6.372234805E-26  6.275603602E-26  2.384366469E-07  2.795392587E-26  2.804260372E-26
@growth_rates:  8.050000000E+01 -7.209717660E-07  1.787764567E-02  1.717113143E-02  1.803023904E-03 -2.054116409E-03 -2.399110553E-03
@times:    55   8.800000000E+01
@energies:  8.800000000E+01  1.844618318E-01  6.413994919E-26  6.592996556E-26  2.518069800E-07  2.946345108E-26  2.960390084E-26
